synset	language	lemma	count	goodness labels
01199697-n	English	pendengaran	1	L
14484778-n	English	pendengaran	1	O
08560785-n	English	pendengaran	1	L
00882159-n	Greek, English	pendengaran	2	L
07147267-n	English	pendengaran	1	L
05657718-n	Slovene, Spanish, Polish, Japanese, Finnish, Portuguese, English	pendengaran	7	O
02169702-v	English	pendengaran	1	X
00598954-v	English	pendengaran	1	L
02500902-v	English	pendengaran	1	L
02107442-v	English	pendengaran	1	L
02171039-v	English	pendengaran	1	L
00682744-a	English	pendengaran	1	L
05657999-n	Finnish	pendengaran	1	O
05718254-n	Greek	pendengaran	1	None
00794614-n	Portuguese, Spanish, Japanese	pendengaran	3	L
03990474-n	Finnish, English	maling	2	None
04446521-n	English	maling	1	None
13769033-n	English	maling	1	None
03991062-n	English	maling	1	None
13774404-n	English	maling	1	None
13343774-n	English	maling	1	None
05556071-n	English	maling	1	None
03991646-n	English	maling	1	None
03990834-n	English	maling	1	None
01529491-v	English	maling	1	None
02978753-n	Finnish	maling	1	None
03612965-n	Finnish	maling	1	None
03722827-n	Finnish	maling	1	None
04266660-n	Finnish	maling	1	None
07581132-n	Finnish	maling	1	None
07589458-n	Finnish	maling	1	None
01970826-v	Portuguese, Greek, Finnish, English	turun	4	O
02737187-v	English	turun	1	O
02591312-v	English	turun	1	O
00342164-v	Finnish, English	turun	2	O
00347104-v	Finnish	turun	1	None
01542668-v	Finnish	turun	1	L
01833906-v	Finnish	turun	1	None
01958452-v	Finnish, Thai, Japanese	turun	3	L
01973486-v	Finnish	turun	1	L
01978576-v	Portuguese, Finnish, Japanese	turun	3	L
01978700-v	Finnish	turun	1	L
01979702-v	Finnish	turun	1	None
01979901-v	Finnish	turun	1	X
01980476-v	Finnish	turun	1	None
01981036-v	Finnish	turun	1	L
01984119-v	Finnish	turun	1	L
01986185-v	Finnish	turun	1	O
01986367-v	Finnish	turun	1	None
01986715-v	Finnish	turun	1	None
01988458-v	Finnish	turun	1	None
02039156-v	Finnish	turun	1	None
02016062-v	Greek, Japanese	turun	2	O
02367032-v	Japanese	turun	1	None
02380009-v	Japanese	turun	1	None
02382367-v	Japanese	turun	1	None
00245059-v	Portuguese	turun	1	None
00432683-v	Portuguese	turun	1	L
01970646-v	Portuguese	turun	1	Y
00204391-v	Spanish	turun	1	L
00267855-v	Spanish	turun	1	L
00393534-v	Spanish	turun	1	L
00429060-v	Spanish	turun	1	X
00531489-v	Spanish	turun	1	None
01344537-v	Spanish	turun	1	None
01903935-v	Spanish	turun	1	L
01973125-v	Spanish	turun	1	O
01976841-v	Spanish	turun	1	L
02162310-v	Spanish	turun	1	None
02756821-v	Spanish	turun	1	O
01745722-v	Thai	turun	1	None
02491961-a	Thai	turun	1	O
00243900-v	Portuguese, Finnish, English	mempersingkat	3	None
00243749-v	Portuguese, Finnish, English	mempersingkat	3	None
00201034-v	Portuguese, Finnish	mempersingkat	2	None
00316768-v	Finnish, Japanese	mempersingkat	2	None
00560893-v	Finnish	mempersingkat	1	None
01973636-v	Finnish	mempersingkat	1	None
02352263-v	Finnish	mempersingkat	1	None
00201722-v	Japanese	mempersingkat	1	None
00233203-v	Japanese	mempersingkat	1	None
00236999-v	Japanese	mempersingkat	1	None
00240131-v	Japanese	mempersingkat	1	None
00240571-v	Japanese	mempersingkat	1	None
00241038-v	Japanese	mempersingkat	1	None
00317241-v	Portuguese, Japanese	mempersingkat	2	None
00325647-v	Japanese	mempersingkat	1	None
01800907-v	Japanese	mempersingkat	1	None
02317836-v	Japanese	mempersingkat	1	None
00359135-n	Mandarin Chinese	mempersingkat	1	None
07091587-n	Mandarin Chinese	mempersingkat	1	None
00244625-v	Portuguese	mempersingkat	1	None
00292877-v	Portuguese	mempersingkat	1	None
00431327-v	Spanish	mempersingkat	1	None
00431610-v	Spanish	mempersingkat	1	None
01007924-v	Spanish	mempersingkat	1	None
01008437-v	Spanish	mempersingkat	1	None
01665972-a	English	abaktinal	1	None
10211036-n	English	lawan	1	None
10210911-n	Finnish, English, Japanese	lawan	3	None
09961999-n	Polish	lawan	1	None
10075416-n	English	Andreas	1	None
03065414-a	English	Andreas	1	None
00325840-s	English	Andreas	1	None
10949782-n	Finnish	Andreas	1	None
10950092-n	Finnish	Andreas	1	None
10950219-n	Finnish	Andreas	1	None
10950448-n	Finnish	Andreas	1	None
10950786-n	Finnish	Andreas	1	None
10951017-n	Finnish	Andreas	1	None
10951278-n	Finnish	Andreas	1	None
10951459-n	Finnish	Andreas	1	None
10951697-n	Finnish	Andreas	1	None
06288527-n	Portuguese, English	lakuran	2	None
03986949-n	English	lakuran	1	None
06905680-n	Portuguese	lakuran	1	None
05870180-n	Spanish	lakuran	1	None
14817592-n	Spanish	lakuran	1	None
14818238-n	Spanish	lakuran	1	None
06293229-n	Thai	lakuran	1	None
07367812-n	English	hancur	1	L
07316856-n	English	hancur	1	L
09278537-n	English	hancur	1	L
07313814-n	English	hancur	1	L
01062997-n	English	hancur	1	L
00376400-n	English	hancur	1	L
15271008-n	English	hancur	1	X
14292090-n	English	hancur	1	X
07367548-n	English	hancur	1	L
07297633-n	English	hancur	1	L
00500280-n	English	hancur	1	L
00482892-n	English	hancur	1	L
00383952-n	English	hancur	1	L
00294748-n	English	hancur	1	L
00188007-n	English	hancur	1	L
00059989-n	English	hancur	1	L
00364064-v	English	hancur	1	L
00334186-v	Finnish, English	hancur	2	L
00258665-v	English	hancur	1	L
01369758-v	English	hancur	1	L
00334996-v	English	hancur	1	X
02566528-v	English	hancur	1	L
02073233-v	English	hancur	1	L
02029369-v	English	hancur	1	L
01785395-v	English	hancur	1	L
00362348-v	English	hancur	1	L
02570684-v	English	hancur	1	X
00202569-v	English	hancur	1	L
02668523-v	English	hancur	1	L
01106864-v	English	hancur	1	L
00933821-v	English	hancur	1	X
00558536-v	English	hancur	1	L
00434374-v	English, Japanese	hancur	2	L
02535716-v	English	hancur	1	L
02030764-v	English	hancur	1	L
01972976-v	English	hancur	1	O
00390215-v	English	hancur	1	L
00202784-v	English	hancur	1	L
02746617-v	English	hancur	1	L
02746449-v	English	hancur	1	L
02681639-v	English	hancur	1	L
02681524-v	English	hancur	1	L
02625187-v	English	hancur	1	L
02600082-v	English	hancur	1	L
02559395-v	English	hancur	1	L
02478469-v	English	hancur	1	L
02431320-v	English	hancur	1	O
02399331-v	English	hancur	1	L
02318165-v	English	hancur	1	L
02101373-v	English	hancur	1	L
01991347-v	English	hancur	1	L
01989053-v	Spanish, English, Japanese	hancur	3	X
01896484-v	English	hancur	1	L
01610666-v	English	hancur	1	L
01610463-v	English	hancur	1	L
01597995-v	English	hancur	1	L
01557646-v	English	hancur	1	L
01369346-v	English, Japanese	hancur	2	Y
01298931-v	English	hancur	1	L
01228524-v	English	hancur	1	L
01228396-v	English	hancur	1	L
00935987-v	English	hancur	1	L
00779061-v	English	hancur	1	X
00778745-v	English	hancur	1	L
00744439-v	English	hancur	1	L
00738440-v	English	hancur	1	L
00738314-v	English	hancur	1	L
00551412-v	Finnish, English	hancur	2	L
00339464-v	English	hancur	1	L
00336260-v	English	hancur	1	L
00258366-v	English	hancur	1	L
00155046-v	English	hancur	1	L
00107739-v	English	hancur	1	L
00107604-v	English	hancur	1	L
00030463-v	English	hancur	1	L
00333758-v	Mandarin Chinese, Finnish	hancur	2	O
00334649-v	Finnish	hancur	1	L
00338071-v	Finnish	hancur	1	None
01259691-v	Finnish	hancur	1	None
00335923-v	Mandarin Chinese	hancur	1	X
00358089-n	Mandarin Chinese	hancur	1	L
00358290-n	Mandarin Chinese	hancur	1	None
00376825-n	Mandarin Chinese	hancur	1	None
00397405-v	Mandarin Chinese	hancur	1	L
00397576-v	Mandarin Chinese	hancur	1	O
01215017-v	Spanish	hancur	1	None
02041877-v	Spanish	hancur	1	Y
01471043-v	Spanish, Greek, Finnish, Thai, Portuguese, English, Serbo-Croatian	menculik	7	Y
01471825-v	Portuguese, Serbo-Croatian	menculik	2	None
02206619-v	Serbo-Croatian	menculik	1	None
02273293-v	Spanish	menculik	1	None
02276453-v	Spanish	menculik	1	None
02353664-v	Spanish	menculik	1	None
02353752-v	Spanish	menculik	1	None
07091587-n	Portuguese, English	penyingkatan	2	None
00359135-n	Spanish, Japanese, Finnish, Portuguese, English	penyingkatan	5	O
05706954-n	Japanese	penyingkatan	1	None
13524399-n	Japanese	penyingkatan	1	None
00358931-n	Portuguese, Polish	penyingkatan	2	None
06468123-n	Portuguese	penyingkatan	1	None
07091587-n	Slovene, Japanese, Greek, Finnish, Portuguese, English	singkatan	6	O
00359135-n	Portuguese, Spanish, English	singkatan	3	O
07091902-n	Slovene, Finnish	singkatan	2	None
00358931-n	Polish	singkatan	1	None
04204953-n	Polish	singkatan	1	None
06289472-n	Polish	singkatan	1	None
06468123-n	Portuguese, Polish	singkatan	2	L
00775460-n	Slovene, English, Japanese	abduksi	3	None
00333037-n	Slovene, English	abduksi	2	None
00138956-n	Finnish	abduksi	1	None
00139758-n	Finnish	abduksi	1	None
00775702-n	Slovene, Japanese, Greek, Finnish, Portuguese	abduksi	5	None
13442715-n	Finnish	abduksi	1	None
13442867-n	Finnish	abduksi	1	None
00087218-n	Portuguese	abduksi	1	None
14081941-n	Spanish	abduksi	1	None
07231048-n	Portuguese, English	denotasi	2	None
05922949-n	Portuguese, English	denotasi	2	None
00228283-n	Japanese, Finnish, Portuguese, English, Serbo-Croatian	abolisi	5	None
00229260-n	Finnish	abolisi	1	None
01074694-n	Finnish	abolisi	1	None
02853449-n	Finnish	abolisi	1	None
00231567-n	Greek	abolisi	1	None
00231887-n	Japanese	abolisi	1	None
00232386-n	Serbo-Croatian	abolisi	1	None
00799798-v	Serbo-Croatian	abolisi	1	None
13999663-n	English	rumah	1	None
01161635-n	English	rumah	1	None
06602935-n	Spanish, Polish, English, Serbo-Croatian	konotasi	4	O
05923566-n	Portuguese, Polish, English, Spanish	konotasi	4	O
05780885-n	Japanese	konotasi	1	None
05920791-n	Japanese	konotasi	1	None
06605897-n	Japanese	konotasi	1	None
06606464-n	Japanese	konotasi	1	None
13860281-n	Japanese	konotasi	1	None
14598079-n	English	penyerap	1	O
14597413-n	Polish	penyerap	1	None
08558963-n	English	baka	1	None
03259505-n	English	baka	1	None
02637202-v	English	baka	1	None
00668099-v	English	baka	1	None
06759974-n	Finnish	baka	1	None
15272029-n	Spanish, Finnish	baka	2	None
01063939-n	Portuguese	baka	1	None
01066163-n	Spanish	baka	1	None
05047059-n	Spanish	baka	1	None
05047956-n	Spanish	baka	1	None
05646218-n	Spanish	baka	1	None
05646535-n	Spanish	baka	1	None
09676490-n	Portuguese, English	pribumi	2	None
09620794-n	Spanish, English	pribumi	2	None
02599509-a	Portuguese, English	pribumi	2	None
01037148-a	Portuguese, English	pribumi	2	None
00813589-s	English	pribumi	1	None
00699207-s	Finnish	pribumi	1	None
01012503-s	Finnish	pribumi	1	None
02460964-s	Finnish	pribumi	1	None
01774426-v	Spanish, Japanese, Finnish, Thai, Portuguese, Mandarin Chinese, English	membenci	7	O
01774136-v	Portuguese, Finnish, Thai, Japanese	membenci	4	Y
07503430-n	Mandarin Chinese	membenci	1	None
00864910-v	Portuguese	membenci	1	None
02614194-a	Portuguese, English	alfabetis	2	O
00100634-a	Portuguese, Polish, English	alfabetis	3	None
01213886-n	English	patronasi	1	None
08401554-n	English	patronasi	1	None
06719404-n	English	patronasi	1	None
01153861-n	English	patronasi	1	None
01096454-n	English	patronasi	1	None
01185011-v	English	patronasi	1	None
00908621-v	English	patronasi	1	None
08264583-n	Portuguese	patronasi	1	None
14574349-n	English	pembebasan	1	None
00094240-n	Portuguese, English	pembebasan	2	None
00095502-n	Japanese	pembebasan	1	O
00787832-n	Japanese	pembebasan	1	L
01247413-n	Japanese	pembebasan	1	O
01264447-n	Japanese	pembebasan	1	O
07333649-n	Japanese	pembebasan	1	L
13549672-n	Japanese	pembebasan	1	L
00095121-n	Portuguese	pembebasan	1	None
00213694-n	Serbo-Croatian	pembebasan	1	Y
01193886-n	Spanish	pembebasan	1	O
14574349-n	Finnish, English	absolusi	2	O
00094240-n	Finnish, English	absolusi	2	L
01193886-n	Spanish	absolusi	1	None
14583843-n	English	penerima	1	L
09759684-n	English	penerima	1	O
06333095-n	Finnish	penerima	1	L
09627906-n	Finnish	penerima	1	O
09769345-n	Finnish	penerima	1	O
09954081-n	Finnish	penerima	1	None
09958447-n	Finnish	penerima	1	O
10578656-n	Finnish	penerima	1	M
01362273-s	Portuguese	asam	1	None
02396354-s	Portuguese	asam	1	None
05093581-n	Slovene, Greek, Finnish, Thai, Portuguese, English	matra	6	O
05849040-n	English	matra	1	None
06011446-n	Slovene, Japanese, Finnish, Portuguese, English	matra	5	None
05091194-n	Portuguese, English, Slovene	matra	3	None
00922142-v	English	matra	1	None
00143065-v	English	matra	1	None
05127959-n	Finnish	matra	1	None
15135822-n	Finnish	matra	1	None
07209305-n	Greek	matra	1	None
13854649-n	Greek	matra	1	None
05062993-n	Japanese	matra	1	None
05093890-n	Japanese	matra	1	None
06246896-n	Japanese	matra	1	None
04733118-n	Polish	matra	1	None
05098942-n	Portuguese, Polish	matra	2	None
05123416-n	Slovene	matra	1	None
03581125-n	Spanish	matra	1	None
00372013-n	English	akrual	1	X
14312172-n	Portuguese, Finnish, English, Japanese	abses	4	O
14183210-n	Finnish	abses	1	None
14183420-n	Finnish	abses	1	None
01009240-v	English	tersebut	1	None
01016002-v	English	tersebut	1	None
00917300-v	English	tersebut	1	None
02730813-v	English	tersebut	1	None
00746718-v	English	tersebut	1	None
00978549-v	English	tersebut	1	None
00928959-v	English	tersebut	1	None
00979870-v	English	tersebut	1	None
01009821-v	English	tersebut	1	None
00945499-v	English	tersebut	1	None
00923197-v	English	tersebut	1	None
02068730-s	English	tersebut	1	None
02068946-s	Finnish	tersebut	1	None
01916555-s	Portuguese	tersebut	1	None
06821279-n	Portuguese	tersebut	1	None
06776783-n	Spanish	tersebut	1	None
00155621-r	Portuguese, English	secara	2	None
00041954-r	Spanish, Finnish, English	secara	3	None
00221583-r	English, Japanese	secara	2	None
00104233-r	Finnish, Japanese	secara	2	None
00106921-r	Portuguese, Finnish	secara	2	None
00036609-r	Japanese	secara	1	None
00102029-r	Japanese	secara	1	None
00195342-r	Japanese	secara	1	None
00406868-r	Japanese	secara	1	None
00495524-r	Japanese	secara	1	None
00495663-r	Japanese	secara	1	None
00495743-r	Japanese	secara	1	None
00506342-r	Japanese	secara	1	None
05559256-n	English	Mariam	1	None
05514410-n	English	Mariam	1	None
07473441-n	Portuguese, Polish	Mariam	2	None
11365857-n	Polish	Mariam	1	None
07319103-n	Portuguese	Mariam	1	None
07354731-n	Portuguese	Mariam	1	None
07528097-n	Portuguese	Mariam	1	None
09567913-n	Portuguese	Mariam	1	None
13259917-n	Portuguese	Mariam	1	None
08834543-n	Spanish	Mariam	1	None
13257511-n	Portuguese, Polish, Finnish, English	PDB	4	None
13257098-n	Finnish	PDB	1	None
09759069-n	Greek, Finnish, Thai	akademikus	3	M
09759311-n	Mandarin Chinese, Finnish, Thai	akademikus	3	O
09759501-n	Portuguese, Mandarin Chinese, Spanish, Polish	akademikus	4	Y
02599939-a	Portuguese, Spanish	akademikus	2	None
02699524-a	Portuguese	akademikus	1	None
10251779-n	Portuguese	akademikus	1	None
10557854-n	Portuguese, Thai	akademikus	2	None
10665698-n	Portuguese	akademikus	1	None
10558773-n	Thai	akademikus	1	None
06011589-n	Mandarin Chinese, Finnish, English, Polish	absis	4	O
07673397-n	Arabic	minyak	1	Y
14966667-n	Spanish, Polish, Arabic	minyak	3	Y
05565696-n	English	minyak	1	None
13656075-n	English	minyak	1	None
12582231-n	English	minyak	1	None
06706676-n	English	minyak	1	None
01210737-v	English	minyak	1	None
07674617-n	Greek, Finnish, Thai, Japanese	minyak	4	None
12592971-n	Finnish	minyak	1	None
03844349-n	Polish	minyak	1	None
07673872-n	Portuguese	minyak	1	None
07674508-n	Portuguese	minyak	1	None
08403787-n	Finnish	Kartika	1	None
08404188-n	Finnish	Kartika	1	None
13828905-n	Finnish	Kartika	1	None
13857159-n	Finnish	Kartika	1	None
07101406-n	Greek	Kartika	1	None
13854649-n	Greek	Kartika	1	None
13856110-n	Greek	Kartika	1	None
13857676-n	Greek	Kartika	1	None
09395763-n	Portuguese	Kartika	1	None
07403300-n	Spanish	Kartika	1	None
13896217-n	English	bulan	1	None
02045473-s	English	bulan	1	None
15206943-n	Mandarin Chinese	bulan	1	None
09358226-n	Portuguese	bulan	1	Y
09358358-n	Portuguese, Spanish	bulan	2	O
09358550-n	Portuguese, Spanish	bulan	2	O
15206296-n	Portuguese	bulan	1	O
15207872-n	Portuguese, Spanish	bulan	2	O
15209413-n	Portuguese	bulan	1	Y
09571249-n	Spanish	bulan	1	L
06691684-n	Portuguese, Finnish, English, Spanish	aklamasi	4	O
06691989-n	Finnish, Japanese	aklamasi	2	None
07251779-n	Finnish	aklamasi	1	None
06692572-n	Japanese	aklamasi	1	None
00230324-n	Spanish, Japanese, Portuguese, English, Serbo-Croatian	keguguran	5	O
07319652-n	Spanish, Japanese, Greek, Portuguese, English	keguguran	5	O
00230475-n	Polish, Japanese, Greek, Finnish, Portuguese, Serbo-Croatian	keguguran	6	Y
00116687-n	Greek	keguguran	1	None
00034939-n	Portuguese	keguguran	1	None
10109443-n	Spanish	keguguran	1	None
00230324-n	Portuguese, Polish, Finnish, English	aborsi	4	None
07319652-n	Portuguese, English	aborsi	2	None
00231161-n	Finnish	aborsi	1	None
00034939-n	Portuguese	aborsi	1	None
00230475-n	Portuguese	aborsi	1	None
06292973-n	Portuguese, Finnish, English, Japanese	hiponim	4	None
04960277-n	Finnish, English	kucing	2	None
13983807-n	English	kucing	1	None
10852130-n	English	kucing	1	None
10851987-n	English	kucing	1	None
09636339-n	Finnish, English	kucing	2	None
02846260-n	Finnish, English	kucing	2	None
02846141-n	Finnish, English	kucing	2	None
00280532-v	English	kucing	1	None
00392812-a	Polish, Finnish, English	kucing	3	None
00241952-a	Finnish, English	kucing	2	None
00114797-s	English	kucing	1	None
01229561-s	Finnish, English	kucing	2	None
01131935-s	English	kucing	1	None
01050088-s	English	kucing	1	None
00396296-s	English	kucing	1	None
00274068-s	Finnish, English	kucing	2	None
02079507-s	Finnish, English	kucing	2	None
01706341-s	Finnish, English	kucing	2	None
01402580-s	Finnish, English	kucing	2	None
01227546-s	English	kucing	1	None
00756897-s	English	kucing	1	None
00421002-s	Polish, Finnish, English	kucing	3	None
00364881-s	Finnish	kucing	1	None
00807667-s	Finnish	kucing	1	None
04960582-n	Finnish	kucing	1	None
09637013-n	Polish	kucing	1	None
02121620-n	Portuguese, Spanish	kucing	2	Y
02122298-n	Portuguese	kucing	1	O
02122725-n	Portuguese, Spanish	kucing	2	L
02122878-n	Portuguese	kucing	1	None
02127808-n	Portuguese	kucing	1	O
10022759-n	Spanish	kucing	1	None
00442115-n	English	kolam	1	None
01960911-v	English	kolam	1	None
01904293-v	English	kolam	1	None
02756063-v	English	kolam	1	None
02755911-v	English	kolam	1	None
01904649-v	English	kolam	1	None
02473371-s	English	kolam	1	None
01233225-s	English	kolam	1	None
04371225-n	Polish, Japanese, Greek, Finnish, Thai, Portuguese	kolam	6	L
03982060-n	Portuguese, Japanese	kolam	2	O
08481369-n	Japanese	kolam	1	L
13369857-n	Japanese	kolam	1	L
02821202-n	Polish	kolam	1	L
09215437-n	Polish	kolam	1	L
14947558-n	English, Japanese	pisang	2	None
12353431-n	Mandarin Chinese, Finnish, English	pisang	3	None
08981746-n	Finnish	pisang	1	None
07753592-n	Polish	pisang	1	Y
12352150-n	Polish	pisang	1	None
05539454-n	Slovene	pisang	1	None
05611684-n	Slovene	pisang	1	None
07735510-n	Slovene, Thai	pisang	2	None
12157677-n	Slovene	pisang	1	None
12158443-n	Slovene	pisang	1	None
09880427-n	Portuguese, Finnish, English, Spanish	birokrat	4	O
10289863-n	Finnish	birokrat	1	None
10397275-n	Finnish	birokrat	1	None
00949548-a	English	kepangeranan	1	None
00951163-s	English	kepangeranan	1	None
00948384-s	English	kepangeranan	1	None
02061487-a	English	kepangeranan	1	None
00100213-s	English	kepangeranan	1	None
01823948-s	English	kepangeranan	1	None
02334973-s	English	kepangeranan	1	None
01761375-s	English	kepangeranan	1	None
01295946-s	English	kepangeranan	1	None
00974908-s	English	kepangeranan	1	None
00952653-s	English	kepangeranan	1	None
00949797-s	English	kepangeranan	1	None
00572714-s	English	kepangeranan	1	None
08500433-n	Finnish, Polish, Thai, Japanese	kepangeranan	4	None
08502051-n	Finnish	kepangeranan	1	None
05083328-n	Greek	kepangeranan	1	None
05089947-n	Greek	kepangeranan	1	None
06016276-n	Greek	kepangeranan	1	None
06858779-n	Greek	kepangeranan	1	None
08001685-n	Greek	kepangeranan	1	None
15269513-n	Greek	kepangeranan	1	None
09466280-n	Mandarin Chinese, Polish, Japanese	kepangeranan	3	None
11958080-n	Polish	kepangeranan	1	None
06862202-n	Portuguese	kepangeranan	1	None
13777764-n	Portuguese	kepangeranan	1	None
13910384-n	Portuguese, Spanish	kepangeranan	2	None
00028651-n	Spanish	kepangeranan	1	None
04659567-n	Spanish	kepangeranan	1	None
05611822-n	Spanish	kepangeranan	1	None
06839190-n	Spanish	kepangeranan	1	None
08652970-n	Spanish	kepangeranan	1	None
13778089-n	Spanish	kepangeranan	1	None
14485436-n	Spanish	kepangeranan	1	None
15134340-n	Spanish	kepangeranan	1	None
02646381-a	Thai	kepangeranan	1	None
08502171-n	Thai	kepangeranan	1	None
07947255-n	English	etimologi	1	None
08372411-n	English	etimologi	1	None
07970721-n	English	etimologi	1	None
07060167-n	English	etimologi	1	None
06514786-n	Finnish, Japanese	etimologi	2	None
06514621-n	Portuguese, Polish	etimologi	2	L
06168855-n	Portuguese	etimologi	1	L
01476325-s	Polish, Finnish, English	banci	3	None
01476516-s	Finnish	banci	1	None
00264776-a	Japanese	banci	1	None
05200169-n	English	kemampuan	1	X
05616246-n	English	kemampuan	1	O
01638438-a	Portuguese, Spanish	orang	2	None
01643620-a	Portuguese, Spanish	orang	2	None
07943870-n	Portuguese	orang	1	None
10375506-n	Portuguese, Spanish	orang	2	None
10376523-n	Portuguese	orang	1	None
10376890-n	Portuguese, Spanish	orang	2	None
00669138-s	Spanish	orang	1	None
00936297-s	Spanish	orang	1	None
01639891-s	Spanish	orang	1	None
01640261-s	Spanish	orang	1	None
01689580-s	Spanish	orang	1	None
10375214-n	Spanish	orang	1	None
10375690-n	Spanish	orang	1	None
02556720-a	English	kerah	1	None
00260100-s	English	kerah	1	None
15152817-n	English	hari	1	None
14424780-n	English	hari	1	None
15153225-n	Finnish, English	hari	2	None
02672831-n	Spanish, Polish, Japanese, Greek, Finnish, Portuguese, English	akordeon	7	O
07027180-n	Polish	akordeon	1	None
13969243-n	Polish	akordeon	1	None
15135996-n	Greek, Thai, Arabic, Portuguese, English	minggu	5	O
15136147-n	Greek, Finnish, Thai, Arabic, Portuguese, Mandarin Chinese, English	minggu	7	Y
15169873-n	Polish, Japanese, Greek, Finnish, Thai, Arabic, Portuguese, Mandarin Chinese, English	minggu	9	O
15170178-n	Finnish	minggu	1	None
02503517-n	Spanish, Polish, English	gajah	3	Y
06881662-n	Spanish, English	gajah	2	L
02080415-n	Portuguese, Finnish	gajah	2	None
00034939-n	English	menghentikan	1	None
00353839-v	Portuguese, Finnish, English, Serbo-Croatian	menghentikan	4	L
00060063-v	English	menghentikan	1	None
00059899-v	Portuguese, Finnish, English	menghentikan	3	None
00292507-v	Finnish	menghentikan	1	O
00292877-v	Finnish	menghentikan	1	None
00362348-v	Finnish, Serbo-Croatian	menghentikan	2	O
00362805-v	Finnish	menghentikan	1	L
00363493-v	Finnish	menghentikan	1	O
00364297-v	Finnish	menghentikan	1	None
00364478-v	Finnish	menghentikan	1	None
00520019-v	Finnish, Serbo-Croatian	menghentikan	2	O
00520602-v	Finnish	menghentikan	1	None
00779061-v	Finnish	menghentikan	1	X
00780191-v	Finnish	menghentikan	1	None
00780444-v	Finnish	menghentikan	1	None
00907800-v	Finnish	menghentikan	1	None
00914769-v	Finnish	menghentikan	1	None
01207817-v	Finnish	menghentikan	1	None
02019011-v	Finnish	menghentikan	1	None
02382938-v	Finnish	menghentikan	1	None
02428771-v	Finnish	menghentikan	1	None
02477755-v	Finnish	menghentikan	1	X
02510184-v	Finnish	menghentikan	1	None
02594833-v	Finnish	menghentikan	1	None
02652922-v	Finnish	menghentikan	1	None
02684078-v	Finnish	menghentikan	1	None
00059769-v	Portuguese	menghentikan	1	None
00352826-v	Serbo-Croatian	menghentikan	1	O
00363110-v	Serbo-Croatian	menghentikan	1	O
00364064-v	Serbo-Croatian	menghentikan	1	O
00520357-v	Serbo-Croatian	menghentikan	1	X
00778275-v	Serbo-Croatian	menghentikan	1	O
01294396-v	Serbo-Croatian	menghentikan	1	None
02224945-v	Serbo-Croatian	menghentikan	1	None
02431320-v	Serbo-Croatian	menghentikan	1	O
02609764-v	Serbo-Croatian	menghentikan	1	O
02641035-v	Serbo-Croatian	menghentikan	1	None
02680814-v	Serbo-Croatian	menghentikan	1	Y
14631295-n	English	salah	1	None
02604760-v	Portuguese, Finnish, English	salah	3	None
02616386-v	Finnish, English	salah	2	None
02655135-v	Portuguese, Finnish, English, Spanish	salah	4	None
02603699-v	Finnish, English	salah	2	None
02749904-v	Finnish, English	salah	2	None
02664769-v	Finnish, English	salah	2	None
02620587-v	Finnish, English	salah	2	None
02445925-v	Finnish, English	salah	2	None
02697725-v	Finnish, English	salah	2	None
02268246-v	English	salah	1	None
02614181-v	Finnish, English	salah	2	None
02744820-v	Portuguese, Finnish, English	salah	3	None
02702508-v	Greek, Finnish, English	salah	3	None
00047610-v	Finnish	salah	1	None
00047745-v	Finnish	salah	1	None
00065370-v	Finnish	salah	1	None
00107369-v	Finnish	salah	1	None
00121046-v	Finnish	salah	1	None
00342812-v	Finnish	salah	1	None
01156834-v	Finnish	salah	1	None
01711749-v	Finnish	salah	1	None
02108026-v	Finnish	salah	1	None
02203362-v	Finnish	salah	1	None
02204692-v	Finnish	salah	1	None
02205098-v	Finnish	salah	1	None
02302220-v	Finnish	salah	1	None
02355596-v	Greek, Finnish	salah	2	None
02378453-v	Finnish	salah	1	None
02611373-v	Finnish	salah	1	None
02618001-v	Finnish	salah	1	None
02621395-v	Finnish	salah	1	None
02630189-v	Finnish	salah	1	None
02630871-v	Finnish	salah	1	None
02664664-v	Finnish	salah	1	None
02665124-v	Finnish	salah	1	None
02690708-v	Finnish	salah	1	None
02693088-v	Finnish	salah	1	None
02701828-v	Finnish	salah	1	None
02721284-v	Finnish	salah	1	None
02729819-v	Finnish	salah	1	None
02731390-v	Finnish	salah	1	None
02734338-v	Portuguese, Finnish	salah	2	None
02736391-v	Finnish	salah	1	None
02740745-v	Finnish	salah	1	None
02746735-v	Finnish	salah	1	None
02755773-v	Finnish	salah	1	None
14976170-n	Finnish	salah	1	None
00012267-v	Greek	salah	1	None
00056930-v	Greek	salah	1	None
00120316-v	Greek	salah	1	None
00276068-v	Greek	salah	1	None
00276214-v	Greek	salah	1	None
00341560-v	Greek	salah	1	None
00372958-v	Greek	salah	1	None
00417001-v	Greek	salah	1	None
00634906-v	Greek	salah	1	None
00689950-v	Greek	salah	1	None
00983123-v	Greek	salah	1	None
01619014-v	Greek	salah	1	None
01629000-v	Greek	salah	1	None
01642924-v	Greek	salah	1	None
01646075-v	Greek	salah	1	None
01647229-v	Greek	salah	1	None
01664172-v	Greek	salah	1	None
01698271-v	Greek	salah	1	None
01721754-v	Greek	salah	1	None
01914947-v	Greek	salah	1	None
01956955-v	Greek	salah	1	None
02172888-v	Greek	salah	1	None
02374764-v	Greek	salah	1	None
02391803-v	Greek	salah	1	None
02439281-v	Greek	salah	1	None
