synset_old	lemma	src_old	usr_old
02075857-v	membelok	msa	hannahchoi
02077656-v	meluwengkan	msa	hannahchoi
02077656-v	makan	msa	hannahchoi
02077656-v	mengarik	msa	hannahchoi
02077656-v	memasukkan	msa	hannahchoi
02077656-v	membawakan	msa	hannahchoi
02077656-v	membutuhkan	msa	hannahchoi
02077656-v	mendapatkan	msa	hannahchoi
02077656-v	menyampaikan	msa	hannahchoi
02096167-v	dipusingkan	msa	hannahchoi
02096167-v	gisar	msa	hannahchoi
02096167-v	makan	msa	hannahchoi
02096167-v	putar	msa	hannahchoi
02096167-v	berpulas	msa	hannahchoi
02096167-v	menyimpang	msa	hannahchoi
02205272-v	berhasil	msa	hannahchoi
02205272-v	jadi	msa	hannahchoi
02205272-v	memenangi	msa	hannahchoi
02205272-v	makan	msa	hannahchoi
02205272-v	menawan	msa	hannahchoi
02206619-v	menawan	msa	hannahchoi
02206619-v	makan	msa	hannahchoi
02208537-v	berhasil	msa	hannahchoi
02208537-v	mengarik	msa	hannahchoi
02208537-v	mengambil	msa	hannahchoi
02208537-v	makan	msa	hannahchoi
02208537-v	meluwengkan	msa	hannahchoi
02208537-v	memasukkan	msa	hannahchoi
02208537-v	membawa	msa	hannahchoi
02208537-v	jadi	msa	hannahchoi
02208537-v	membutuhkan	msa	hannahchoi
02208537-v	menyewakan	msa	hannahchoi
02209745-v	mengambil	msa	hannahchoi
02209745-v	berhasil	msa	hannahchoi
02209745-v	jadi	msa	hannahchoi
02209745-v	mengarik	msa	hannahchoi
02209745-v	makan	msa	hannahchoi
02209745-v	mengikat perjanjian	msa	hannahchoi
02209745-v	meluwengkan	msa	hannahchoi
02209745-v	memasukkan	msa	hannahchoi
02209745-v	membawa	msa	hannahchoi
02209745-v	membutuhkan	msa	hannahchoi
02209936-v	makan	msa	hannahchoi
02209936-v	meluwengkan	msa	hannahchoi
02209936-v	memasukkan	msa	hannahchoi
02209936-v	membawa	msa	hannahchoi
02209936-v	membutuhkan	msa	hannahchoi
02209936-v	mengarik	msa	hannahchoi
02209936-v	terima	msa	hannahchoi
02236124-v	ada	msa	hannahchoi
02236124-v	ambil	msa	hannahchoi
02236124-v	berhasil	msa	hannahchoi
02236124-v	jadi	msa	hannahchoi
02236124-v	makan	msa	hannahchoi
02236124-v	meluwengkan	msa	hannahchoi
02236124-v	memasukkan	msa	hannahchoi
02236124-v	membawa	msa	hannahchoi
02236124-v	membeli	msa	hannahchoi
02236124-v	membenarkan masuk	msa	hannahchoi
02236124-v	membutuhkan	msa	hannahchoi
02236124-v	memiliki	msa	hannahchoi
02236124-v	mempunyai	msa	hannahchoi
02236124-v	mendapat	msa	hannahchoi
02236124-v	menerima masuk	msa	hannahchoi
02236124-v	mengadakan	msa	hannahchoi
02236124-v	mengalami	msa	hannahchoi
02236124-v	mengambil	msa	hannahchoi
02236124-v	mengarik	msa	hannahchoi
02236124-v	menjual	msa	hannahchoi
02236124-v	bersetuju	msa	hannahchoi
02236624-v	bersetuju	msa	hannahchoi
02236624-v	makan	msa	hannahchoi
02236624-v	meluwengkan	msa	hannahchoi
02236624-v	memasukkan	msa	hannahchoi
02236624-v	membawa	msa	hannahchoi
02236624-v	membenarkan masuk	msa	hannahchoi
02236624-v	membutuhkan	msa	hannahchoi
02236624-v	mengakui	msa	hannahchoi
02236624-v	mengaku	msa	hannahchoi
02236624-v	menerima masuk	msa	hannahchoi
02236624-v	memikul	msa	hannahchoi
02236624-v	mengarik	msa	hannahchoi
02267989-v	duduki	msa	hannahchoi
02267989-v	memenuhi	msa	hannahchoi
02267989-v	makan	msa	hannahchoi
02267989-v	meluwengkan	msa	hannahchoi
02267989-v	mengambil masa	msa	hannahchoi
02267989-v	memasukkan	msa	hannahchoi
02267989-v	mengarik	msa	hannahchoi
02267989-v	membawa	msa	hannahchoi
02267989-v	menguras	msa	hannahchoi
02267989-v	menjajah	msa	hannahchoi
02394183-v	berhasil	msa	hannahchoi
02394183-v	jadi	msa	hannahchoi
02394183-v	makan	msa	hannahchoi
02394183-v	meluwengkan	msa	hannahchoi
02394183-v	memasukkan	msa	hannahchoi
02394183-v	membawa	msa	hannahchoi
02394183-v	membutuhkan	msa	hannahchoi
02394183-v	memenuhi	msa	hannahchoi
02394183-v	memenuhkan	msa	hannahchoi
02394183-v	mengarik	msa	hannahchoi
02394183-v	mengisi	msa	hannahchoi
02394183-v	menimbuni	msa	hannahchoi
02394183-v	menyangka	msa	hannahchoi
02394183-v	menyumbat	msa	hannahchoi
02394183-v	menjalankan	msa	hannahchoi
02599636-v	berhasil	msa	hannahchoi
02599636-v	jadi	msa	hannahchoi
02599636-v	makan	msa	hannahchoi
02599636-v	mengarik	msa	hannahchoi
02599636-v	meluwengkan	msa	hannahchoi
02599636-v	mengetuai	msa	hannahchoi
02599636-v	memasukkan	msa	hannahchoi
02599636-v	membawa	msa	hannahchoi
02599636-v	membutuhkan	msa	hannahchoi
02599636-v	mengajak	msa	hannahchoi
02627934-v	menyangkut	msa	hannahchoi
02627934-v	menyebabkan perlu	msa	hannahchoi
02627934-v	perlukan	msa	hannahchoi
02627934-v	menghendaki	msa	hannahchoi
02627934-v	mengarik	msa	hannahchoi
02627934-v	mengambil	msa	hannahchoi
02627934-v	mengajak	msa	hannahchoi
02627934-v	menanyai	msa	hannahchoi
02627934-v	mempersilakan	msa	hannahchoi
02627934-v	meminta	msa	hannahchoi
02627934-v	membawa	msa	hannahchoi
02627934-v	memasukkan	msa	hannahchoi
02627934-v	meluwengkan	msa	hannahchoi
02627934-v	melibatkan	msa	hannahchoi
02627934-v	makan	msa	hannahchoi
02627934-v	jadi	msa	hannahchoi
02627934-v	bertanyakan	msa	hannahchoi
02627934-v	berkehendakkan	msa	hannahchoi
02627934-v	berhasil	msa	hannahchoi
02627934-v	menyilakan	msa	hannahchoi
02701210-v	makan	msa	hannahchoi
02701210-v	melenggarakan	msa	hannahchoi
02701210-v	meluwengkan	msa	hannahchoi
02701210-v	memasukkan	msa	hannahchoi
02701210-v	membawa	msa	hannahchoi
02701210-v	membutuhkan	msa	hannahchoi
02701210-v	memuat	msa	hannahchoi
02701210-v	memuatkan	msa	hannahchoi
02701210-v	menahan	msa	hannahchoi
02701210-v	menakung	msa	hannahchoi
02701210-v	mencengkeram	msa	hannahchoi
02701210-v	mengarik	msa	hannahchoi
02701210-v	menggemak-gemak	msa	hannahchoi
02701210-v	muat	msa	hannahchoi
02701210-v	memegang	msa	hannahchoi
02701210-v	mengawai	msa	hannahchoi
02701210-v	mengawal	msa	hannahchoi
02701210-v	mengandung	msa	hannahchoi
02701210-v	mengisi	msa	hannahchoi
02717102-v	berhasil	msa	hannahchoi
02717102-v	jadi	msa	hannahchoi
02717102-v	makan	msa	hannahchoi
02717102-v	meluwengkan	msa	hannahchoi
02717102-v	memadati	msa	hannahchoi
02717102-v	memasukkan	msa	hannahchoi
02717102-v	membawa pergi	msa	hannahchoi
02717102-v	membebani	msa	hannahchoi
02717102-v	mengajak	msa	hannahchoi
02717102-v	mengangkat	msa	hannahchoi
02717102-v	mengarik	msa	hannahchoi
02717102-v	mengepak	msa	hannahchoi
02717102-v	menggendong	msa	hannahchoi
02717102-v	mendukung	msa	hannahchoi
02717102-v	mengangkut	msa	hannahchoi
02717102-v	menghantar	msa	hannahchoi
02717102-v	membutuhkan	msa	hannahchoi
02717102-v	membungkus	msa	hannahchoi
02717102-v	memiliki	msa	hannahchoi
02741546-v	mengarik	msa	hannahchoi
02741546-v	jadi	msa	hannahchoi
02741546-v	makan	msa	hannahchoi
02741546-v	meluwengkan	msa	hannahchoi
02741546-v	memasukkan	msa	hannahchoi
02741546-v	membawa	msa	hannahchoi
02741546-v	membutuhkan	msa	hannahchoi
02741546-v	muat	msa	hannahchoi
02741546-v	terima	msa	hannahchoi
07626602-n	gula	msa	hannahchoi
07626602-n	mentega dan telur	msa	hannahchoi
07626602-n	sirup jagung	msa	hannahchoi
07830690-n	brandy atau bumbu lainnya	msa	hannahchoi
07830690-n	gula	msa	hannahchoi
07859284-n	gula olahan	msa	hannahchoi
07926920-n	minuman campuran anggur	msa	hannahchoi
07926920-n	gula	msa	hannahchoi
07931452-n	gula	msa	hannahchoi
07931452-n	jus lemon	msa	hannahchoi
07931452-n	minuman campuran rum	msa	hannahchoi
14792703-n	gula	msa	hannahchoi
00021265-n	makan	msa	hannahchoi
00021265-n	pangan	msa	hannahchoi
01027174-v	makanan	msa	hannahchoi
01027174-v	membekali	msa	hannahchoi
01027174-v	memberi	msa	hannahchoi
01027174-v	mengepil	msa	hannahchoi
01027174-v	menyediakan	msa	hannahchoi
01027174-v	menyesuaikan	msa	hannahchoi
01027174-v	pembekalan	msa	hannahchoi
01027174-v	membubuh	msa	hannahchoi
01027174-v	membilai	msa	hannahchoi
01027174-v	melampir	msa	hannahchoi
01027174-v	mencampurkan	msa	hannahchoi
01182709-v	bekalan makanan	msa	hannahchoi
01182709-v	makanan	msa	hannahchoi
01182709-v	mencurahkan	msa	hannahchoi
01182709-v	menyajikan	msa	hannahchoi
01182709-v	menyerahkan	msa	hannahchoi
01182709-v	bekal	msa	hannahchoi
01182709-v	melayani	msa	hannahchoi
01182709-v	membekalkan	msa	hannahchoi
01182709-v	membekali	msa	hannahchoi
02327200-v	berikan	msa	hannahchoi
02327200-v	memperaboti	msa	hannahchoi
02327200-v	mensuplai	msa	hannahchoi
02327200-v	menyajikan	msa	hannahchoi
02327200-v	membekalkan	msa	hannahchoi
02327200-v	makanan	msa	hannahchoi
02327200-v	memberikan	msa	hannahchoi
02479323-v	makanan	msa	hannahchoi
02479323-v	menghantar	msa	hannahchoi
02479323-v	mengeluarkan	msa	hannahchoi
02479323-v	memberi	msa	hannahchoi
02479323-v	pembekalan	msa	hannahchoi
02479323-v	membekali	msa	hannahchoi
02479323-v	bekalkan	msa	hannahchoi
07555863-n	makanan yang keras	msa	hannahchoi
07555863-n	makanan yang padat	msa	hannahchoi
07557434-n	persantapan	msa	hannahchoi
07557434-n	santapan	msa	hannahchoi
07560652-n	makanan dan minuman	msa	hannahchoi
07561112-n	makan bersukat	msa	hannahchoi
80001507-n	air	ntumc	takkur
80001507-n	perairan	ntumc	takkur
77000121-n	sini	pron	takkur
